english,hindi
"Take this and eat.
","यह लो और खाओ.
"
"Structured notes, whatever's safest.
","संरचित नोट्स, जो भी सबसे सुरक्षित है.
"
"It just hit me.
","यह बस मुझे मारा.
"
"- Leave it there.
","- यहीं रखना।
"
"- Well, you're gay.
","- भाड़ में जाओ! - तुम समलैंगिक हो।
"
"No, ma'am, not yet.
","नहीं, मैडम, अभी नहीं।
"
"What do we do, Templeton?
","हम क्या करें, टेम्पलटन?
"
"A psychiatrist at Arkham Asylum.
","शरण में एक मनोचिकित्सक।
"
"- That's him right there!
","- यही कारण है कि उसे अभी भी वहीं है!
"
"Then he became a monster.
","फिर वह एक राक्षस बन गया।
"
"You comin' in awfully late.
","तुम भय देर में आ रही.
"
"- Your cue light's broken.
","- तुम्हारी क्यु लाइट टूटी हुई है .
"
"I'd sue you for slander.
","मैं तुम पर बदनामी के लिए मुकदमा करूंगा.
"
"Oh, baby, you okay?
","तुम ठीक हो ?
"
"- I can't take it
","- मैं इसे नहीं ले सकती हूं
"
"Romilly did not survive.
","Romilly बच नहीं पाए .
"
"Well, that's very flattering, Andy.
","तो यह इंटरव्यू ख़त्म हुआ समझो। यह बहुत ख़ुशी देने वाला है एंडी।
"
"- What are you doing?
","- तुम क्या कर रहे हो?
"
"- No, horse shit.
","- नहीं, घोड़े की लीद.
"
"Tell me the height.
","कितना ऊँचा है.
"
"( Woman gasping )
","(नारी हांफते)
"
"we're very different people.
","हम एक-दूसरे से बहुत अलग हैं।
"
"What are you saying, Phil?
","तुम क्या फिल कह रहे हैं?
"
"I need a ticket.
","मैं एक टिकट की जरूरत है.
"
"You just start, aunty.
","तुम बस शुरू, चाची।
"
"(ROCK MUSIC FADES UP)
","(रॉक संगीत fades उत्तर प्रदेश)
"
"- No, I'm coming back.
","- नहीं , मैं वापस आऊंगा .
"
"( Peter breathing heavily )
","(भारीपीटरश्वास)
"
"I'm en route now.
","मैंअबरास्तेमें हूँ
"
"Jinx and Storm, Trojan Horse.
","मनहूस और तूफान, ट्रोजन हॉर्स.
"
"That's 1 one hour Swedish.
","तो आपका स्वीडिश एक घंटे का होगा.
"
"Get him out of here?
","उसे यहाँ से बाहर निकालना?
"
"Are you new to me?
","मैं तुमसे पहली बार मिल रहा हूँ क्या?
"
"Thank you, ladies and gentlemen.
","शुक्रिया, देवियो व सज्जनो।
"
"What do you mean?
","क्या मतलब है तुम्हारा?
"
"What's the deal with puppies?
","पपीज़ के साथ क्या मुश्किल है?
"
"Married Melanie Schopp in 2002..
","शादी 2002 में मेलेनी शॉप से की
"
"There was an IED attack.
","वो एक देसी बम का हमला था।
"
"I'm typing the Führer's testament.
","मैं फ्यूरर का वसीयतनामा टाइप कर रही हूँ.
"
"it is. it excites me.
","यह है. यह मुझे उत्तेजित.
"
"And you are my weapon.
","और तुम मेरे हथियार हैं.
"
"Everyone knows amnesia is bollocks.
","हर कोई भूलने की बीमारी bollocks है जानता है.
"
"Jack, no, we're a team.
","जैक, नहीं, हम एक टीम हैं.
"
"Let's see what we've got.
","के हमें क्या मिला है देखते हैं
"
"-Oh, man, you know it.
","- ओह, यार, तुम यह जानते हैं।
"
"It's come to my voice.
","यह मेरी आवाज के लिए आ रहा है!
"
"- I hope not.
","- मुझे नहीं लगता है.
"
"I can't really remember.
","मुझे सच में याद नहीं है.
"
"Well, now, let me see?
","मुझे देखने दें?
"
"Open your eyes, Mr Ex-President.
","अपनी आँखें खोलो, श्री भूतपूर्व राष्ट्रपति.
"
"Martin works for you?
","मार्टिन आपके लिए काम करता है.
"
"- Her name is Elena.
","- उसका नाम ऐलेना है.
"
"Drink up, Mr. Torrance.
","पियो, श्री टॉरंस.
"
"Just back from the cusp.
","उसके सिरे से पीछे .
"
"Running from him for years.
","साल के लिए उसके पास से चल रहा है.
"
"- No, you don't.
","- नहीं, तुम नहीं करते.
"
"She's cheating on me.
","उसने मुझे धोखा दे रहा है.
"
"Portrait of then Princess Mithravinda.
","ये तस्वीर उस समय की राजकुमारी मित्राविन्दा की है.
"
"- I'm supposed to go.
","~ मैं जाने के लिए कर रहा हूँ चाहिए अनुपस्थित.
"
"I guess the call's disconnected.
","मैं कॉल की काट दिया लगता है।
"
"It's the building material.
","यह निर्माण सामग्री है।
"
"- You insult me!
","- आप मेरा अपमान!
"
"- Watch your fucking mouth!
","-ज़बान को लगाम दो।
"
"They've really great science program.
","वे सचमुच महान है विज्ञान कार्यक्रम है.
"
"What is the matter?
","क्या बात है?
"
"After seven years, people wonder:
","सात साल बाद , लोगों को आश्चर्य:
"
"I don't fucking believe you!
","मैं आप मानते कमबख्त नहीं है!
"
"It should not be alive.
","यह ज़िंदा नहीं होना चाहिए.
"
"From the hills near Susa.
","सुसा के पास पहाड़ियों से.
"
"Thank you for that.
","तुम उस के लिए धन्यवाद!
"
"- State of contract?
","- अनुबंध के राज्य?
"
"And how much blood?
","और कितना खून?
"
"We're gonna be fine.
","हम ठीक हो जा रहे हैं.
"
"What have we got?
","What do we find?
"
"I'm glad you got here.
","मुझे खुशी है कि तुम यहाँ हो गया हूँ।
"
"He'd better fucking not.
","वह बेहतर नहीं कमबख्त होगी.
"
"It's sending massive power surges.
","यह बड़े पैमाने पर बिजली surges भेज रहा है।
"
"- Oh, my God.
","- ओह, मेरे भगवान.
"
"Your opinion about me.
","मेरे बारे में तुम्हारा ख्याल क्या हैं.
"
"I'm Lasse Karlsson from Tommelilla.
","मैं हूँ लेसे कार्लस्सन टॉमेलिला से.
"
"Track ahead looks good.
","मैं ऐसा नहीं करोगे. लगता है एल एल कुछ देखना.
"
"Where did he come from?
","यह आया कहाँ से?
"
"If only I could understand.
","काश मैं समझ पाती.
"
"You're gonna miss it.
","आप यह याद करने वाले हैं.
"
"For leaking the blue print
","ब्लू प्रिंट लीक करने के लिए
"
"SEAN: We're definitely lost.
","शॉन हम निश्चित रूप खो रहे हैं.
"
"This is called Solomon's treatment.
","इसे कहते है सालमन का इलाज.
"
"The smoke will blind Okkoto.
","आप के रूप में होगा.
"
"What's your gut tell you.
","अपने पेट तुम्हें क्या कहना है.
"
"We had acres of corn.
","हमारे पास काफी मकाई थी .
"
"Very good, you're very good.
","बहुत अच्छे। बहुत अच्छे। क्या?
"
"You call me murderer?
","तुम मुझे कातिल कहते हैं?
"
"You've got something, right?
","आप सही, कुछ मिल गया है?
"
"- Scott, let's go!
","स्कॉट, चलो चलो!
"
"- Shut it, Wiggin!
","- Wiggin उसे बंद!
"
"You wanna go again?
","तुम्हें फिर से जाने?
"
"I swore a vow.
","मैं एक व्रत की कसम।
"
"Why are you doing this?
","तुमऐसाक्योंकररहेहैं
"
"Gina can defend herself.
","Gina अपना बचाव खुद कर सकती है।
"
"- No, thank you.
","-नहीं, शुक्रिया।
"
"- Is that you, boss?
","- बॉस, आप हैं क्या?
"
"Who... what are you?
","आपकौनहैं?
"
"How y'all doin' today?
","तुम सब आज 'कैसे हो?
"
"To why I'm here?
","मैं यहाँ क्या करूँ?
"
"- Who the hell knows?
","- कौन जाने?
"
"- Is it definite?
","-क्या सब कुछ तय हो चूका है?
"
"You let them stay!
","फिर भी तुमने उन्हें रहने दिया!
"
"""Sweetheart I swear on you.""
","""जानेमन मैं तुम पर कसम खाता हूँ।""
"
"Don't challenge these stories.
","इन कहानियों को चुनौती मत करो.
"
"Money for the boat?
","नाव के लिए पैसा?
"
"They're a bit big.
","वे थोड़े बड़े हैं.
"
"Does it smell like rhino?
","गैंडे की महक आती है?
"
"- Put your hands up.
","- अपने हाथ ऊपर करो.
"
"The tattoo on his neck
","उसकी गर्दन पर टैटू
"
"She is elusive and dangerous.
","वह मायावी और खतरनाक है.
"
"We killed many a barbarian.
","हम कई एक जंगली मारे गए.
"
"- Get off of me!
","मुझसे दूर हटो!
"
"Get her a visa.
","उसका वीज़ा बनवाओ।
"
"Yes, sir, I'm very sure.
","हाँ, सर, मैं बहुत यकीन है.
"
"I order an immediate ceasefire.
","मैं तत्काल संघर्ष विराम का आदेश देता हूं.
"
"It will be all right.
","यह ठीक हो जाएगा.
"
"- I didn't even see...
","- मैंने देखा भी नहीं था ...
"
"Report to me immediately:
","मुझे रिपोर्ट दो तत्काल:
"
"I'm telling you the truth.
","मैं तुम्हें सच कह रहा हूँ।
"
"Have bogey in sight.
","दृष्टि में दलदली है.
"
"Don't you fucking do it!
","आप यह है बकवास मत करो!
"
"Because we're sand they're flowers.
","क्योंकि हम रेत कर रहे हैं... ... वे फूल रहे हैं.
"
"Try the Hoffler Klinik.
","हॉफ़्लर क्लिनिक में देखना।
"
"Let's take the bike.
","चलो साइकिल से चलें।
"
"Thanks For Viewing (Worldwide7477)
","देखने के लिए धन्यवाद (Worldwide7477)
"
"Yes. I know that.
","हा, मैं यह जानता हूँ।
"
"I don't wanna be more!
","मुझे और कुछ नहीं बनना!
"
"Anyone else can stay.
","और कोई रुक सकता है .
"
"Endurance is hitting stratosphere!
","Endurance समतापमंडल को छूने वाला है !
"
"ALL RIGHT, OUT YOU GET.
","ठीक है, तुम हट जाओ.
"
"Are there any witnesses?
","कोई गवाह है?
"
"KDK 1 calling KDK 12.
","के डी के 1 बुला रहा है के डी के 12 को.
"
"Tell me where you're from.
","मुझे बताओ कि तुम कहाँ से हो.
"
"You shouldn't be here.
","आप यहाँ नहीं होना चाहिए.
"
"The client won't run away.
","ग्राहक भागेगा नहीं.
"
"It's kind of silly, honey.
","यह शहद, मूर्ख की तरह है.
"
"She's just a little girl.
","-वो बच्ची है।
"
"Will you forgive me, Sita?
","क्या तुम मुझे माफ कर दो, सीता?
"
"Gift from his family.
","अपने परिवार से उपहार.
"
"MY DAUGHTER'S GETTING MARRIED.
","मेरी बेटी की शादी हो रही है.
"
"Now I pull a trigger.
","अब मैं एक ट्रिगर खींच.
"
"We don't recognize it.
","हम इसे पहचान नहीं है.
"
"Used to getting wounds?
","घाव हो रही करने के लिए इस्तेमाल किया है?
"
"What the fuck was that?
","क्या बकवास था?
"
"That's good enough for me.
","यह मेरे लिए काफी अच्छा है.
"
"The children deserve a future.
","बच्चों को एक भविष्य मिलना चाहिए.
"
"So take your things then.
","तो फिर अपनी चीजे समेटो.
"
"This was all a sham.
","ये सब एक धोखा था .
"
"We're here! Who are you?
","हम यहाँ हैं!
"
"- Because I was there.
","-क्योंकि मैं वहाँ था।
"
"EMT ON SPEAKER. ;
","EMTपर:
"
"Military District II has confirmed.
","द्वितीय सैन्य जिला ने पुष्टि की है.
"
"Cut the shit, I'm Hungarian.
","गंदगी काटो, मैं हंगेरी हूँ.
"
"Was the flight on time?
","फ्लाइट वक्त पर थी ना?
"
"(MEN SHOUTING) (BELL RINGING)
","(पुरुषोंचिल्ला) (घंटीबज)
"
"Is your bullshit congenital?
","क्या तुम बचपन से सनकी हो?
"
"Won't that be a sight!
","कि एक दृष्टि नहीं होगा!
"
"- YOU KNOW THAT?
","- तुम जानते हो?
"
"- This should do it.
","- यह यह करना चाहिए.
"
"Is she in danger?
","वह खतरे में है?
"
"They don't belong down here.
","वे यहाँ नीचे ताल्लुक नहीं रखता।
"
"What's with all the cameras?
","सभी कैमरों के साथ क्या है?
"
"What are you doing here?
","तुम यहाँ क्या कर रहे हो?
"
"Tower, we have got survivors.
","टॉवर, हम बचे मिल गया है.
"
"Now who's a liar?
","अब कौन झूठा है?
"
"( metal clatters )
","(धातुclatters)
"
"Could Ayoub take a load?
","क्या अयूब बोझा लेके जा सकता है
"
"Can you save her? !
","आप उसे बचा सकते हैं?
"
"I know that sounds strange.
","मुझे अजीब लगता है कि पता है.
"
"He has no rights.
","उसके पास कोई अधिकार नहीं है.
"
"Do you understand that?
","क्या तुम्हें समझ आया?
"
"He was a good dog.
","उन्होंने कहा कि एक अच्छा कुत्ता था।
"
"Please just come home.
","प्लीज़ घर आ जाओ।
"
"Everything's gonna be okay.
","सब कुछ ठीक हो जाएगा.
"
"And no loud music!
","और कोई जोर से संगीत!
"
"Go get it, girl.
","इसे पाने के लिए, लड़की जाओ।
"
"Julio dead, you owe me.
","जूलियो मृत, तुम मुझे देने हैं.
"
"I'm not the boss here...
","मैं यहाँ का मालिक नहीं कर रहा हूँ...
"
"I'm gonna get this door!
","मैं इस दरवाजे से मिलने वाला हूँ!
"
"It has to be here.
","यह यहाँ होना चाहिए...
"
"Son, where's your manager?
","बेटा, अपने मैनेजर कहाँ है?
"
"( breathing heavily ) PETER.
","(भारी साँस) पीटर.
"
"What did I steal?
","मैंने क्या चोरी की है?
"
"What has Sam said exactly?
","सैम ने आखिर क्या कहा?
"
"Get these prisoners to work.
","इन कैदियों को काम करने के लिए प्राप्त करें।
"
"Has anyone used superglue?
","क्या किसी ने सुपर-ग्लू प्रयोग किया है?
"
"The government district too?
","सरकार जिले भी?
"
"Information is power, my friend.
","सूचना शक्ति, मेरा दोस्त है.
"
"What's that light down there?
","ट्रेवर: है यह Iava है है.
"
"Careful you don't get killed.
","सावधान तुम कहीं मारे न जाओ.
"
"And then the fourth.
","और फिर चौथा.
"
"What should I do?
","मुझे क्या करना चाहिए?
"
"I'm going away from you.
","मैं जा रहा हूँ यहाँ से।
"
"Six-one is going down hard.
","छह-एक कठिन नीचे जा रहा है।
"
"Nah, I mean, you know.
","नहीं, मेरा मतलब है, तुम्हें पता है.
"
"We have no other option
","हम कोई अन्य विकल्प नहीं है
"
"I couldn't stop the mission.
","मैं मिशन को रोकना नहीं चाहता था।
"
"Oh, here we go.
","ओह, यहाँ हम चले.
"
"Please listen to me.
","मेरी बात तो सुनो.
"
"What did you tell them?
","ऐ.. तुमने उनसे क्या कहा?
"
"She's a tiny little girl.
","वह एक छोटे से लड़की है।
"
"And use that to focus.
","और ध्यान केंद्रित करने के लिए उपयोग।
"
"How many more days?
","और कितने दिन?
"
"- PROPERTY TEST S.T.A.R.
","- संपत्ति टेस्ट स्टार
"
"What did you call me?
","तुमने मुझे क्या कहा?
"
"Phil, we've found him.
","फिल, हम उसे मिल गया है.
"
"No doubt about it.
","इसके बारे में कोई शक नहीं है.
"
"- Talk to me.
","- बोलते रहो .
"
"We always talk about Tokyo.
","टोक्यो के बारे में हम हमेशा बात करते हैं.
"
"Do you have to?
","क्या आपको करना है?
"
"Okay, I got it.
","ठीक है, मैं समझ गया.
"
"They're a mystery, Judah.
","वे यहूदा एक रहस्य हैं.
"
"How do you do?
","- तुम कैसे हो?
"
"You don't need me anymore.
","तुम मुझे अब और ज़रूरत नहीं है।
"
"Thank you for trusting me.
","मुझपे भरोसा करने के लिए शुक्रिया।
"
"- Yes, Mr. F rancis?
","- हाँ, श्री फ्रांसिस?
"
"Because now it's my fault?
","क्योंकि अब यह मेरी गलती है?
"
"I said to myself,
","मैं अपने आप से कहा,
"
"Half-and-half, three Sweet 'N Lows.
","आधा और आधा, तीन स्वीट 'एन चढ़ाव.
"
"Oh, Andy loved geology.
","ओह, एंडी को भूविज्ञान पसंद था.
"
"'No, a minor problem'
","'नहीं, एक छोटी सी समस्या'
"
"I'm from another era.
","मैं एक और युग से हूँ.
"
"Shall we get started?
","शुरू करें?
"
"THAT'S WHY I'M HERE.
","मैं यहाँ क्यों हूँ है.
"
"Tim, look who's here!
","टिम, देखो कौन आया है!
"
"(DELPHINE GIGGLES ON RECORDING)
","(Delphine गिगल्स रिकॉर्डिंग पर )
"
"Oh, I'm okay, thank you.
","ओह, मैं ठीक हूँ, धन्यवाद.
"
"What, what is that?
","क्या, वह क्या है?
"
"(SIGHING) ls something the matter?
","(Sighing) रास कुछ बात है?
"
"Josh, I was always there.
","जोश, मैं हमेशा वहाँ था।
"
"18 arrested from bike bloc.
","साइकिल समूह के 18 सदस्य गिरफ़्तार हुए.
"
"sir, is everything all-right?
","साहब, सब कुछ ठीक है?
"
"Dad called me, all right.
","पिताजी ने मुझे फोन किया, ठीक है.
"
"They keep kicking our asses!
","वे अपने गधे लात मार रखो!
"
"I'll show you online.
","मैं तुम्हें ऑनलाइन दिखाता हूँ.
"
"I took a detour...
","हांक: मैं एक चक्कर लिया ...
"
"Its aright, Its aright..
","इसके दाहिनी ओर, इसके दाहिनी ओर ..
"
"Oh, nom, nom, nom!
","ओह, वाह, वाह, वाह!
"
"Didn't you get it?
","आप इसे प्राप्त नहीं किया था?
"
"Does she know I'm upstairs?
","-उसे पता है मैं ऊपर हूं?
"
"A care package thingy?
","एक पैकेज की देखभाल thingy?
"
"It's a personal matter.
","यह एक निजी मामला है.
"
"What is this stuff?
","यह क्या है?
"
"Construction started in 1907.
","9071 में निर्माण शुरू हुआ.
"
"Come forward, my dear.
","आगे आओ, मेरे प्यारे।
"
"Daddy, is that you?
","पिताजी, आप यह क्या है?
"
"You son of a bitch!
","एक कुतिया की आप बेटा!
"
"Meaning a lover of humanity
","मानवता के एक प्रेमी मतलब
"
"It will never end.
","तो यह कभी खत्म नहीं होगा.
"
"- COME ON, COME ON.
","- चलो, चलो
"
"I want Julia to live.
","मैं जूलिया जीना चाहते हैं.
"
"CAN I CALL YOU DANIL?
","मैं आप Danil कॉल कर सकते हैं?
"
"We're back online, spider.
","हम वापस स्पाइडर ऑनलाइन कर रहे हैं.
"
"Do you have a warrant?
","आप एक वारंट है?
"
"I'll get to train.
","मैं प्रशिक्षित करने के िलए मिल जाएगा.
"
"- On whose authority?
","- किस अधिकार से?
"
"WOMAN ON PA. ;
","औरतपरफिलीस्तीनीअथॉरिटी:
"
"You know the regulations.
","आप नियमों को जानते हैं.
"
"- Oh, really great.
","- ओह, सच में बहुत अच्छा।
"
"No problem, make a call.
","कोई दिक्कत नहीं, फोन कर लो.
"
"There's nothing left here?
","यहाँ कुछ नहीं बचा है?
"
"A little hobby of mine?
","मेरा एक छोटा शौक.
"
"I love you too.
","मैं भी तुमसे प्यार करती हूं.
"
"Careful not to spill.
","गिरकरनेके लिएनहींसावधान
"
"I don't believe it!
","मुझे विश्वास नहीं है!
"
"Most of them are true.
","उनमें से ज्यादातर सही हैं।
"
"Just give me the facts.
","बस मुझे तथ्यों दे।
"
"Don't worry about it, man.
","इसके बारे में चिंता मत करो, आदमी.
"
"And now you're here.
","और अब तुम यहाँ हो.
"
"Well, you're fired, of course.
","ठीक है, तुम निश्चित रूप से, निकाल रहे हैं।
"
